580774	1	a	bir	artikel	I'm a man.	Ben bir erkeğim.	https://audio.tatoeba.org/sentences/eng/580774.mp3	[sound:580774.mp3]
241003	2	about	hakkında, üzerine		Think about it.	Bunu düşünün / Bunun hakkında düşünün.	https://audio.tatoeba.org/sentences/eng/241003.mp3	[sound:241003.mp3]
3374177	2	about	hakkında, üzerine		I lied about it.	Onun hakkında yalan söyledim.	https://audio.tatoeba.org/sentences/eng/3374177.mp3	[sound:3374177.mp3]
914026	2	about	hakkında, üzerine		What is it about?	O ne hakkında?	https://audio.tatoeba.org/sentences/eng/914026.mp3	[sound:914026.mp3]
2235698	2	about	hakkında, üzerine		Forget about Tom.	Tom'u unut.	https://audio.tatoeba.org/sentences/eng/2235698.mp3	[sound:2235698.mp3]
2549643	2	about	neredeyse, hemen hemen, yaklaşık		I'm about done.	Hemen hemen bitirdim.	https://audio.tatoeba.org/sentences/eng/2549643.mp3	[sound:2549643.mp3]
24599	2	about	neredeyse, hemen hemen, yaklaşık		About what time?	Yaklaşık saat kaçta?	https://audio.tatoeba.org/sentences/eng/24599.mp3	[sound:24599.mp3]
33483	2	about	neredeyse, hemen hemen, yaklaşık		I'm about ready.	Ben neredeyse hazırım.	https://audio.tatoeba.org/sentences/eng/33483.mp3	[sound:33483.mp3]
16491	2	How about	nasıl bulursun, ne dersin	bunun hakkında ne düşünürsün gibi	How about you?	Peki ya sen?	https://audio.tatoeba.org/sentences/eng/16491.mp3	[sound:16491.mp3]
56368	2	How about	nasıl bulursun, ne dersin	bunun hakkında ne düşünürsün gibi	How about that!	Buna ne dersin!	https://audio.tatoeba.org/sentences/eng/56368.mp3	[sound:56368.mp3]
2871763	2	How about	nasıl bulursun, ne dersin	bunun hakkında ne düşünürsün gibi	How about a hug?	Bir sarılmaya ne dersin?	https://audio.tatoeba.org/sentences/eng/2871763.mp3	[sound:2871763.mp3]
1358780	2	How about	nasıl bulursun, ne dersin	bunun hakkında ne düşünürsün gibi	How about Friday?	Cuma'ya ne dersin?	https://audio.tatoeba.org/sentences/eng/1358780.mp3	[sound:1358780.mp3]
43098	3	all	her şey, hepsi, herkes	everything kelimesinin eşanlamlısı	That's all.	Hepsi bu.	https://audio.tatoeba.org/sentences/eng/43098.mp3	[sound:43098.mp3]
2241010	3	all	her şey, hepsi, herkes		We all die.	Hepimiz ölürüz.	https://audio.tatoeba.org/sentences/eng/2241010.mp3	[sound:2241010.mp3]
322610	3	all	her şey, hepsi, herkes		All is well.	Her şey yolunda.	https://audio.tatoeba.org/sentences/eng/322610.mp3	[sound:322610.mp3]
2247905	3	all	her şey, hepsi, herkes		I'm all set.	Tamamen hazırım.	https://audio.tatoeba.org/sentences/eng/2247905.mp3	[sound:2247905.mp3]
262358	4	also	de, bile		I also went.	Ben de gittim.	https://audio.tatoeba.org/sentences/eng/262358.mp3	[sound:262358.mp3]
2441093	4	also	de, bile		He also saw it.	Onu o da gördü.	https://audio.tatoeba.org/sentences/eng/2441093.mp3	[sound:2441093.mp3]
304906	4	also	de, bile		He will also go.	O da gidecek.	https://audio.tatoeba.org/sentences/eng/304906.mp3	[sound:304906.mp3]
5975697	4	also	de, bile		I also did that.	Onu ben de yaptım.	https://audio.tatoeba.org/sentences/eng/5975697.mp3	[sound:5975697.mp3]
2245192	5	and	ve		Come and see.	Gel ve gör.	https://audio.tatoeba.org/sentences/eng/2245192.mp3	[sound:2245192.mp3]
2029931	6	as	gibi		Do as I say.	Söylediğim gibi yap.	https://audio.tatoeba.org/sentences/eng/2029931.mp3	[sound:2029931.mp3]
17188	6	as	gibi		Do as you like.	İstediğiniz gibi yapın.	https://audio.tatoeba.org/sentences/eng/17188.mp3	[sound:17188.mp3]
5757912	6	as	gibi		I'll do as I like.	Hoşlandığım gibi yapacağım.	https://audio.tatoeba.org/sentences/eng/5757912.mp3	[sound:5757912.mp3]
3721633	6	as	gibi, kadar		It's as I feared.	Korktuğum kadarmış.	https://audio.tatoeba.org/sentences/eng/3721633.mp3	[sound:3721633.mp3]
	6	as	olarak		He worked as president.	O, başkan olarak çalıştı.	https://audio.tatoeba.org/sentences/eng/NA.mp3	[sound:NA.mp3]
1546061	6	as	olarak		I work as a teacher.	Öğretmen olarak çalışıyorum.	https://audio.tatoeba.org/sentences/eng/1546061.mp3	[sound:1546061.mp3]
5472116	6	as	olarak		We did it as a team.	Biz bunu takım olarak yaptık.	https://audio.tatoeba.org/sentences/eng/5472116.mp3	[sound:5472116.mp3]
6979834	6	as	olarak		I work as a cook.	Aşçı olarak çalışıyorum.	https://audio.tatoeba.org/sentences/eng/6979834.mp3	[sound:6979834.mp3]
2423004	6	as ... as ...	kadar	iki şey arasında kıyaslama yaparken	I'm as old as you.	Senin kadar büyüğüm.	https://audio.tatoeba.org/sentences/eng/2423004.mp3	[sound:2423004.mp3]
6872932	6	as ... as ...	kadar	iki şey arasında kıyaslama yaparken	I'm as rich as Tom.	Tom kadar zenginim.	https://audio.tatoeba.org/sentences/eng/6872932.mp3	[sound:6872932.mp3]
2839185	6	as ... as ...	kadar	iki şey arasında kıyaslama yaparken	He's as big as I am.	O benim kadar büyük.	https://audio.tatoeba.org/sentences/eng/2839185.mp3	[sound:2839185.mp3]
2648643	6	as well	de, bile		We agree as well.	Biz de kabul ediyoruz.	https://audio.tatoeba.org/sentences/eng/2648643.mp3	[sound:2648643.mp3]
1369146	6	as well	de, bile		He will go as well.	O da gidecek.	https://audio.tatoeba.org/sentences/eng/1369146.mp3	[sound:1369146.mp3]
5975563	6	as well	de, bile		I did that as well.	Onu ben de yaptım.	https://audio.tatoeba.org/sentences/eng/5975563.mp3	[sound:5975563.mp3]
404046	7	at	-de	"""in"" edatının eşanlamlısı"	I'm at home.	Ben evdeyim.	https://audio.tatoeba.org/sentences/eng/404046.mp3	[sound:404046.mp3]
2247930	7	at	-de	"""in"" edatının eşanlamlısı"	I'm at work.	İşteyim.	https://audio.tatoeba.org/sentences/eng/2247930.mp3	[sound:2247930.mp3]
7021201	7	at	-de	"""in"" edatının eşanlamlısı"	I'm at Tom's.	Tom'lardayım.	https://audio.tatoeba.org/sentences/eng/7021201.mp3	[sound:7021201.mp3]
591205	7	at	-de	"""in"" edatının eşanlamlısı"	Stay at home.	Evde kalın.	https://audio.tatoeba.org/sentences/eng/591205.mp3	[sound:591205.mp3]
2240807	7	at	-de	"""in"" edatının eşanlamlısı"	We're at war.	Biz savaştayız.	https://audio.tatoeba.org/sentences/eng/2240807.mp3	[sound:2240807.mp3]
72363	7	at	-de	saat ve zaman belirtirken	See you at 7.	Yedide görüşürüz.	https://audio.tatoeba.org/sentences/eng/72363.mp3	[sound:72363.mp3]
3154682	7	at	-de	saat ve zaman belirtirken	We eat at six.	Altıda yeriz.	https://audio.tatoeba.org/sentences/eng/3154682.mp3	[sound:3154682.mp3]
453580	7	at	-de	saat ve zaman belirtirken	I will go at 10.	Saat onda gideceğim.	https://audio.tatoeba.org/sentences/eng/453580.mp3	[sound:453580.mp3]
1937402	7	at	-e		Look at that!	Şuna bak!	https://audio.tatoeba.org/sentences/eng/1937402.mp3	[sound:1937402.mp3]
71962	7	at	-e		He shot at me.	O bana ateş etti.	https://audio.tatoeba.org/sentences/eng/71962.mp3	[sound:71962.mp3]
262412	7	at	-e		Look at me.	Bana bak.	https://audio.tatoeba.org/sentences/eng/262412.mp3	[sound:262412.mp3]
1891024	7	at	-e		I'm mad at you.	Sana kızgınım.	https://audio.tatoeba.org/sentences/eng/1891024.mp3	[sound:1891024.mp3]
5840514	7	at	-e		I smiled at Tom.	Tom'a gülümsedim.	https://audio.tatoeba.org/sentences/eng/5840514.mp3	[sound:5840514.mp3]
1501	8	be	olmak		It can't be!	Olamaz!	https://audio.tatoeba.org/sentences/eng/1501.mp3	[sound:1501.mp3]
2247676	8	be	olmak		I'll be OK.	İyi olacağım.	https://audio.tatoeba.org/sentences/eng/2247676.mp3	[sound:2247676.mp3]
390924	8	be	olmak	utangaç olma = utanma	Don't be shy.	Utanma.	https://audio.tatoeba.org/sentences/eng/390924.mp3	[sound:390924.mp3]
1096441	8	be	olmak	tekrar burada olmak = geri döneceğim	I'll be back.	Geri döneceğim.	https://audio.tatoeba.org/sentences/eng/1096441.mp3	[sound:1096441.mp3]
1890867	8	be	olmak		I'll be fine.	İyi olacağım.	https://audio.tatoeba.org/sentences/eng/1890867.mp3	[sound:1890867.mp3]
1890869	8	be	olmak		I'll be here.	Burada olacağım.	https://audio.tatoeba.org/sentences/eng/1890869.mp3	[sound:1890869.mp3]
2249389	8	be	olmak		Just be calm.	Sadece sakin ol.	https://audio.tatoeba.org/sentences/eng/2249389.mp3	[sound:2249389.mp3]
1641530	8	be	olmak		Don't be evil.	Kötü olmayın.	https://audio.tatoeba.org/sentences/eng/1641530.mp3	[sound:1641530.mp3]
2300619	8	be	olmak		I can be good.	İyi olabilirim.	https://audio.tatoeba.org/sentences/eng/2300619.mp3	[sound:2300619.mp3]
2247679	8	be	olmak		I'll be quick.	Hızlı olacağım.	https://audio.tatoeba.org/sentences/eng/2247679.mp3	[sound:2247679.mp3]
1023210	8	be	olmak		That can't be.	Olamaz.	https://audio.tatoeba.org/sentences/eng/1023210.mp3	[sound:1023210.mp3]
2007923	8	be	olmak		Let's be safe.	Güvende olalım.	https://audio.tatoeba.org/sentences/eng/2007923.mp3	[sound:2007923.mp3]
282402	8	be	olmak		Don't be silly.	Aptal olma.	https://audio.tatoeba.org/sentences/eng/282402.mp3	[sound:282402.mp3]
2387090	8	be	olmak		I may be right.	Haklı olabilirim.	https://audio.tatoeba.org/sentences/eng/2387090.mp3	[sound:2387090.mp3]
1740523	8	be	olmak		I may be wrong.	Hatalı olabilirim.	https://audio.tatoeba.org/sentences/eng/1740523.mp3	[sound:1740523.mp3]
3724830	8	be	olmak		I must be calm.	Sakin olmalıyım.	https://audio.tatoeba.org/sentences/eng/3724830.mp3	[sound:3724830.mp3]
2247648	8	be	olmak		I'd be careful.	Dikkatli olurdum.	https://audio.tatoeba.org/sentences/eng/2247648.mp3	[sound:2247648.mp3]
2247648	8	be	olmak		I'd be careful.	Dikkatli olurdum.	https://audio.tatoeba.org/sentences/eng/2247648.mp3	[sound:2247648.mp3]
2247650	8	be	olmak		I'd be grateful.	Minnettar olurdum.	https://audio.tatoeba.org/sentences/eng/2247650.mp3	[sound:2247650.mp3]
42096	8	be	olmak		It may be true.	Bu doğru olabilir.	https://audio.tatoeba.org/sentences/eng/42096.mp3	[sound:42096.mp3]
2262206	8	be	olmak		It must be Tom.	O Tom olmalı.	https://audio.tatoeba.org/sentences/eng/2262206.mp3	[sound:2262206.mp3]
2248964	8	be	olmak		It'll be funny.	Komik olacak.	https://audio.tatoeba.org/sentences/eng/2248964.mp3	[sound:2248964.mp3]
2248972	8	be	olmak		It'll be ready.	Hazır olacak.	https://audio.tatoeba.org/sentences/eng/2248972.mp3	[sound:2248972.mp3]
2007910	8	be	olmak		Let's be brave.	Cesur olalım.	https://audio.tatoeba.org/sentences/eng/2007910.mp3	[sound:2007910.mp3]
1615177	8	be	olmak		Let's be happy.	Mutlu olalım.	https://audio.tatoeba.org/sentences/eng/1615177.mp3	[sound:1615177.mp3]
2249393	8	be	olmak		Just be strong.	Sadece güçlü ol.	https://audio.tatoeba.org/sentences/eng/2249393.mp3	[sound:2249393.mp3]
4397599	8	be	olmak		Just let us be.	Sadece bizi rahat bırakın.	https://audio.tatoeba.org/sentences/eng/4397599.mp3	[sound:4397599.mp3]
4397571	8	be	olmak		That'd be cool.	Bu havalı olurdu.	https://audio.tatoeba.org/sentences/eng/4397571.mp3	[sound:4397571.mp3]
3721963	8	be	olmak		That'd be good.	Bu iyi olurdu.	https://audio.tatoeba.org/sentences/eng/3721963.mp3	[sound:3721963.mp3]
3312953	8	be	olmak		We may be late.	Geç kalabiliriz.	https://audio.tatoeba.org/sentences/eng/3312953.mp3	[sound:3312953.mp3]
3731897	8	be	olmak		Can I be honest?	Dürüst olabilir miyim?	https://audio.tatoeba.org/sentences/eng/3731897.mp3	[sound:3731897.mp3]
2255340	8	be	olmak		You'll be free.	Özgür olacaksın.	https://audio.tatoeba.org/sentences/eng/2255340.mp3	[sound:2255340.mp3]
2387211	8	be	olmak		I might be back.	Geri dönebilirim.	https://audio.tatoeba.org/sentences/eng/2387211.mp3	[sound:2387211.mp3]
6196187	8	be	olmak		I might be late.	Geç kalabilirim.	https://audio.tatoeba.org/sentences/eng/6196187.mp3	[sound:6196187.mp3]
3178616	8	be	olmak	be done = yapılmış olmalı	It must be done.	Bu yapılmalı.	https://audio.tatoeba.org/sentences/eng/3178616.mp3	[sound:3178616.mp3]
3178613	8	be	olmak		It must be hard.	Bu zor olmalı.	https://audio.tatoeba.org/sentences/eng/3178613.mp3	[sound:3178613.mp3]
302334	8	be	-dir	I am. You are. He is.	He is old.	O yaşlıdır.	https://audio.tatoeba.org/sentences/eng/302334.mp3	[sound:302334.mp3]
371409	8	be	-dir	I am. You are. He is.	He is ill.	O, hasta.	https://audio.tatoeba.org/sentences/eng/371409.mp3	[sound:371409.mp3]
2203136	8	be	-dir	I am. You are. He is.	Tom is OK.	Tom iyi.	https://audio.tatoeba.org/sentences/eng/2203136.mp3	[sound:2203136.mp3]
2236731	8	be	-dir	I am. You are. He is.	Tom is in.	Tom içeride.	https://audio.tatoeba.org/sentences/eng/2236731.mp3	[sound:2236731.mp3]
2202600	8	be	-dir	I am. You are. He is.	Tom is back.	Tom geri geldi.	https://audio.tatoeba.org/sentences/eng/2202600.mp3	[sound:2202600.mp3]
3428635	8	be	-dir	I am. You are. He is.	Life is good.	Yaşam güzeldir.	https://audio.tatoeba.org/sentences/eng/3428635.mp3	[sound:3428635.mp3]
2233709	8	be	-dir	I am. You are. He is.	This is mine.	Bu benim.	https://audio.tatoeba.org/sentences/eng/2233709.mp3	[sound:2233709.mp3]
2233711	8	be	-dir	I am. You are. He is.	This is nice.	Bu güzel.	https://audio.tatoeba.org/sentences/eng/2233711.mp3	[sound:2233711.mp3]
2233713	8	be	-dir	I am. You are. He is.	This is nuts.	Bu çılgın.	https://audio.tatoeba.org/sentences/eng/2233713.mp3	[sound:2233713.mp3]
1349952	8	be	-dir	I am. You are. He is.	It's me!	Benim!	https://audio.tatoeba.org/sentences/eng/1349952.mp3	[sound:1349952.mp3]
1780073	8	be	-dir	I am. You are. He is.	He's wet.	O ıslak.	https://audio.tatoeba.org/sentences/eng/1780073.mp3	[sound:1780073.mp3]
456175	8	be	-dir	I am. You are. He is.	It's 3:30.	Saat 3:30.	https://audio.tatoeba.org/sentences/eng/456175.mp3	[sound:456175.mp3]
2123583	8	be	-dir	I am. You are. He is.	It's right.	O doğru.	https://audio.tatoeba.org/sentences/eng/2123583.mp3	[sound:2123583.mp3]
2123579	8	be	-dir	I am. You are. He is.	It's scary.	O korkutucu.	https://audio.tatoeba.org/sentences/eng/2123579.mp3	[sound:2123579.mp3]
2203693	8	be	-dir	I am. You are. He is.	What's good?	Ne iyidir?	https://audio.tatoeba.org/sentences/eng/2203693.mp3	[sound:2203693.mp3]
2549803	8	be	-dir	I am. You are. He is.	What's next?	Sıradaki ne?	https://audio.tatoeba.org/sentences/eng/2549803.mp3	[sound:2549803.mp3]
50984	8	be	-dir	I am. You are. He is.	Who's there?	Kim var orada?	https://audio.tatoeba.org/sentences/eng/50984.mp3	[sound:50984.mp3]
2203308	8	be	-dir	I am. You are. He is.	We're sad.	Biz üzgünüz.	https://audio.tatoeba.org/sentences/eng/2203308.mp3	[sound:2203308.mp3]
